Content-Type: text/x-zim-wiki
Wiki-Format: zim 0.4
Creation-Date: 2019-06-03T10:32:43-06:00

====== Magical Items Homebrew ======
Created Monday 03 June 2019

$Armor of Arrow Attraction	Gives those attacking you with projectiles a +10 to hit you
Ring of Chilling Comfort	BA, Chills drinks in your hand. Res Cold
Ring of Fire Detection	Glows red when in fire
Ring of Infinite Wonders	Roll on this chart: https://drive.google.com/file/d/0B3Jok3IwR5wjcGlGeW5FVEZodU0/view results are performed as favorably as possible (i.e. bad things happen to bad guys, good things good guys)
Ring of Invisibility	Ring is invisible when worn
Ring of Invulnerablility	Ring cannot be destroyed
Ring of Mutual Ignorance	You're invisible to creatures you are not aware of
Ring of Silence	You cannot make noise. Adv on Stealth, no talking/spells (RC3) (A)
Robe of Powerlessness	While you wear it Str and Int set to 7. Take it off and everything's fine
Robe of Vermin [Robe of Magic Res]	-2 Initiative, DisAdv Conc ST, Magic resistance (A)(RC3)
Sea Seeker	If you make 1 atk on a turn & only use this weapon it deals 1d20 dmg instead of normal dmg cause pirates
Starkiller	1/day cast melf's minute meteors targeting each enemy w/in 120ft twice. DC8+prof+SCM(sky goes black, no sun, all stars) Causes the user to fall unconcious for 1 minute on use
The Bag of Rat	Pull out a rat once every 5 min. Same rat.
The Frayed Blade	6 charges, regain 1d6+1/day, 2C: As an attack, 30ft line DC 8+prof+Dex/Str DexST or deal atk dmg. 4C: Adv on atks w/ this wep this turn. Atk w/ other wep DC  8+prof+Dex/Str WisST or you can't use other wep. Move +30ft away DC 8+prof+Dex/Str WisST or you run back. Fail ST's gain indefinite madness from DMG
Wand of Wand Creation	Disintigrates on use, creates a Wand of Wand Creation
Ring of Servitude	4 charges, regain 4 charges each morning. 1 charge: Cast Tiny Servant with no concentration
